trip_id,start_time,end_time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
25765473,2019-11-23 17:39:00,2019-11-23 17:43:26,388,265.0,248,Woodlawn Ave & 55th St,420,Ellis Ave & 55th St,Subscriber,Female,1997.0
25763262,2019-11-23 11:53:59,2019-11-23 12:01:14,6528,434.0,23,Orleans St & Elm St,106,State St & Pearson St,Subscriber,Male,1991.0
25763407,2019-11-23 12:18:08,2019-11-23 12:22:48,5462,279.0,282,Halsted St & Maxwell St,108,Halsted St & Polk St,Subscriber,Female,2000.0
25768780,2019-11-24 13:34:15,2019-11-24 14:39:05,577,"3,889.0",343,Racine Ave & Wrightwood Ave,220,Clark St & Drummond Pl,Customer,,
25767485,2019-11-24 11:08:50,2019-11-24 11:51:41,5530,"2,570.0",230,Lincoln Ave & Roscoe St,259,California Ave & Francis Pl (Temp),Subscriber,Male,1988.0
25770181,2019-11-24 16:15:30,2019-11-24 16:23:25,2371,474.0,110,Dearborn St & Erie St,40,LaSalle St & Adams St,Subscriber,Male,1991.0
25768199,2019-11-24 12:30:42,2019-11-24 12:49:41,4340,"1,139.0",77,Clinton St & Madison St,72,Wabash Ave & 16th St,Subscriber,Male,1966.0
25769759,2019-11-24 15:25:55,2019-11-24 15:51:22,5706,"1,526.0",13,Wilton Ave & Diversey Pkwy,277,Ashland Ave & Grand Ave,Subscriber,Male,1986.0
25769599,2019-11-24 15:10:57,2019-11-24 15:15:17,2879,259.0,59,Wabash Ave & Roosevelt Rd,273,Michigan Ave & 18th St,Subscriber,Male,1989.0
25768432,2019-11-24 12:55:29,2019-11-24 13:12:05,792,995.0,255,Indiana Ave & Roosevelt Rd,133,Kingsbury St & Kinzie St,Subscriber,Female,1994.0
25780197,2019-11-25 18:53:25,2019-11-25 18:59:17,2067,352.0,174,Canal St & Madison St,100,Orleans St & Merchandise Mart Plaza,Subscriber,Male,1974.0
